class,problem,code,answer
8,네 변의 길이의 합이 88cm 인 직사각형의 가로가 32cm 라면 세로는 몇 cm 입니까?,"a = 88
b = 32
y = (a - b * 2) // 2
print(y)",12
1,두웅이는 460 원짜리 색연필 2 자루와 610 원짜리 포스트잇 3 개를 사고 3000원을 냈습니다. 두웅이가 받을 거스름돈은 얼마인지 답을 구하여라.,"a = 460
b = 2
c =610
d = 3
e = 3000
y = e - (a * b + c * d)
print(y)",250
8,"가로의 길이가 21cm, 세로의 길이가 15cm인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 cm²입니까?","a = 21
b = 15
y = a * b
print(y)",315
8,"길이가 55 센티미터인 실을 사용하여 가장 큰 정사각형 모양을 만들었다면, 만들고 남은 실의 길이는 몇 센티미터 입니까?","a = 55
b = 4
c = a // b
y = a - (b * c)
print(y)",3
1,수효네 제과점에서 오늘 크림빵을 480개 만들었습니다. 이 크림빵을 25개까지 넣을 수 있는 상자에 모두 넣을 때 필요한 상자는 최소 몇 개일까?,"a = 480
b = 25
y = a // b
print(y)",19
3,1부터 9까지의 수 중에서 다음 식 10 * A > 88을 만족하는 수는 모두 몇 개인가요?,"a = 1
b = 9
c = 88
d = 10
y = 0
for i in range(a, b + 1):
    if i > c / d:
        y += 1
print(y)",1
8,모든 모서리의 길이가 같은 사각뿔이 있습니다. 모서리의 길이의 합이 60m 일 때 한 모서리의 길이는 몇 m 입 니까?,"a = 60
b = 4
y = a / (b * 2)
print(""{:.2f}"".format(y))",7.50
8,"가로가 12cm, 세로가 7cm 인 직사각형의 네 변의 길이의 합은 몇cm 입니까?","a = 12
b = 7
y = (a + b) * 2
print(y)",38
6,어떠한 숫자를 7로 나누어야 할 것을 잘못하여 어떤 수에 3를 곱했더니 46.5가 되었습니다. 바르게 계산한 몫은 얼마인지 구하여 보시오.,"a = 7
b = 3
c = 46.5
y = c / b / a
print(""{:.2f}"".format(y))",2.21
1,"이삿짐 9.7t을 이삿짐 차에 모두 실으려고 합니다. 차 한대에 2t씩 실을 수 있다고 하면, 최소 몇대의 이삿짐 차를 불러야합니까?","a = 9.7
b = 2
c = 1
y = int(a // b + c)
print(y)",5
1,"어떤 수를 8으로 나누었더니 12가 되었다면, 어떤 수는 얼마일까요?","a = 8
b = 12
y = a * b
print(y)",96
1,구슬이 24개 있습니다. 이 구술을 4명이 똑같이 나누어 가지면 한 명당 몇 개를 가지게 될까요?,"a = 24
b = 4
y = a // b
print(y)",6
8,한 변의 길이가 60센티미터인 정사각형과 둘레가 같은 정육각형의 한 변의 길이는 몇 센티미터입니까?,"a = 60
b = 4
c = 6
y = a * b // c
print(y)",40
1,"지하철에 20명이 타고 있었습니다. 다음역에 도착하여11 명이 내리고, 3명이 탔습니다. 지금 지하철에 타고 있는 사람은 몇 명인지 답을 구하세요.","a = 20
b = 11
c = 3
y = a - b + c
print(y)",12
8,"가로가 45센티미터, 세로가 50센티미터인 직사각형 모양의 종이를 크기가 같은 정사각형 모양으로 남는 부분 없이 자르려고 합니다. 자를 수 있는 가장 큰 정사각형 모양으로 자를 때 종이는 모두 몇 장 만들 수 있나요?","import math

a = 45
b = 50
c = math.gcd(a, b)
y = (a // c) * (b // c)
print(y)",90
1,"색 테이프를 10명이 똑같이 3.3미터씩 남김없이 나누어 가졌다고 하면, 처음에 있던 색 테이프는 몇 미터일까요?","a = 10
b = 3.3
y = int(a * b)
print(y)",33
1,주전자의 물을 2리터 200밀리리터 마시고 봤더니 5리터 100밀리리터가 남았습니다. 처음 주전자에 들어 있던 물은 몇 밀리리터인가요?,"a = 2 * 1000 + 200
b = 5 * 1000 + 100
y = b + a
print(y)",7300
1,물에 미숫가루 25g을 녹여서 미숫가루티 350g을 만들었습니다.미숫가루티 양에 대한 미숫가루의 비율을 구하세요.,"a = 25
b = 350
y = a / b
print(""{:.2f}"".format(y))",0.07
8,"긴변이 22센티미터, 짧은변이 12센티미터인 직사각형의 둘레는 몇 센티미터 입니까?","a = 22
b = 12
y = a * 2 + b * 2
print(y)",68
8,"가로가 16cm, 세로가 18cm인 직사각형을 한 번 잘라서 가장 큰 정사각형을 만들었습니다. 정사각형을 만들고 남은 직사각형의 네 변의 길이의 합은 몇 cm 입니까?","a = 18
b = 16
c = abs(a - b)
y = (a + c) * 2
print(y)",40
1,경수는 10000원짜리 지폐를 8장 가지고 있습니다. 지수가 가지고 있는 돈은 얼마인가요?,"a = 10000
b = 8
y = a * b
print(y)
",80000
8,"성진이는 철사를 100cm 가지고 있습니다. 이 철사를 사용하여 긴 변이 15cm , 짧은 변이 7cm 인 평행사변형 2 개를 겹치는 부분 없이 만들었습니다. 만들고 남은 철사는 몇 cm 입니까?","a = 100
b = 15
c = 7
d = 2
y = a - (b + c) * 2 * d
print(y)",12
3,"4장의 숫자 카드 3, 1, 5, 9가 있습니다. 이를, 한 번씩만 사용하여 2개의 두 자리 수를 만들었습니다. 두 수를 곱할 때, 가장 작은 곱을 계산하세요.","from itertools import permutations

a = ['3', '1', '5', '9']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",585
1,물 2.3L를 병 5개에 똑같이 나누어 담으려고 합니다. 병 한 개에 담을 수 있는 물은 몇 L일까요?,"a = 2.3
b = 5
y = a / b
print(""{:.2f}"".format(y))",0.46
7,"민지, 호정, 진수는 감자밭에서 감자를 캤습니다. 딴 감자 전체의 2/9은 민지가 캤고 호정이는 민지가 딴 양의 3 배를 캤고, 나머지는 진수가 캤습니다. 감자를 가장 많이 캔 사람은 누구입니까?","a = 2 / 9
b = a * 3
c = 1 - (a + b)
dicts = {'민지': a, '호정': b, '진수': c}
y = max(dicts, key=dicts.get)
print(y)",호정
1,종국이네 어머니께서는 정육점에서 소고기 3.5kg을 사 오셨습니다. 이 중에 서 0.38 kg을 사용했다면 남은 소고기는 몇 kg인가요?,"a = 3.5
b = 0.38
y = a - b
print(""{:.2f}"".format(y))",3.12
1,"혜진이는 100원짜리 동전 13개, 10원짜리 동전 5개를 가지고 있습니다. 혜진이가 가진돈에서 2000원이 되려면 얼마가 더 있어야 합니까?","a = 100 * 13
b = 10 * 5
c = 2000
y = c - a - b
print(y)",650
1,물 400L를 20L들이 물통에 가득 나누어 담는다면 물통은 몇 개가 필요합니까?,"a = 400
b = 20
y = int(a // b)
print(y)",20
7,"부채가 1555개, 전기 모기향이 1222개, 모기장이 1666개 있다면, 부채, 전기 모기향, 모기장 중 가장 많은 것은 어느 것일까요?","a = 1555
b = 1222
c = 1666
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",모기장
5,2 리터 짜리 물통에 물이 가득 들어 있습니다. 세훈이가 컵으로 가득 3 번 덜어 내었더니 물은 0.8리터 가 남았습니다. 컵의 들이는 몇 리터 인지 소수로 나타내시오.,"a = 2
b = 3
c = 0.8
y = (a - c) / b
print(""{:.2f}"".format(y))",0.40
3,"숫자 카드 2, 4, 6, 5, 7를 한 번 사용하여 다섯 자리 수를 만들려고 합니다. 가장 큰 수를 구해보시오.","from itertools import permutations

a = ['2', '4', '6', '5', '7']
y = int(max(map(''.join, permutations(a, 5))))
print(y)",76542
8,둘레가 34cm 이고 세로가 7cm 인 직사각형 모양의 다이어리의 가로는 몇 cm 입니까?,"a = 34
b = 7
c = 4
y = (a - b * 2) // 2
print(y)",10
2,"현종이는 오늘 국어, 수학, 과학, 사회, 영어 순서로 공부를 하려고 합니다. 3번째로 공부할 과목의 이름을 적으시오.","a = ['국어', '수학', '과학', '사회', '영어']
b = 3
y = a[b - 1]
print(y)",과학
1,"바구니 안에 공이 100개 있습니다. 그중에서 야구공은 68개, 농구공은 32개입니다. 전체 공 수에 대한 농구공 수의 비율은 몇 % 일까요?","a = 100
b = 68
c = 32
y = int(c / a * 100)
print(y)",32
8,"가로가 15cm, 세로가 5cm인 직육면체의 모든 모서리의 길이의 합이 150cm라고 한다면, 직육면체의 높이는 얼마일까요?","a = 15
b = 5
c = 150
y = (c - (a + b) * 4) // 4
print(y)",17
1,귤 45개를 바구니 5개에 똑같이 나누어 담았습니다. 바구니 하나에 들어 있는 귤을 3명에서 똑같이 나누어 먹으려면 한 사람 당 몇 개의 귤을 먹을 수 있습니까?,"a = 45
b = 5
c = 3
y = a // b // c
print(y)",3
8,지름이 18센티미터 인 원 안에 반지름이 2센티미터 인 원을 겹치지 않게 몇 개까지 그릴 수 있습니까?,"a = 18
b = 2
c = 2 * b
y = int(a / c)
print(y)",4
3,"숫자 카드 9, 5, 1, 2, 3 중에서, 카드를 모두 한 번씩만 사용하여 만들 수 있는 네 자리 수 중에서 가장 작은 수를 얼마입니까?","from itertools import permutations

a = ['9', '5', '1', '2', '3']
y = int(min(map(''.join, permutations(a, 4))))
print(y)",1235
8,밑변의 길이가 6cm이고 넓이가 42cm²인 평행사변형의 높이는 몇 cm일까요?,"a = 6
b = 42
y = b // a
print(y)",7
1,"서준이는 우유를 매일 1.2리터씩 마신다면, 서준이가 10일 동안 마실 우유를 준비할때, 1리터짜리 우유를 적어도 몇 개 사야 합니까?","a = 1.2
b = 10
c = 1
y = int(a * b // c)
print(y)",12
1,"초콜릿이 20개씩 4상자 있습니다. 이 바둑돌을 8명의 학생들에게 똑같이 나누어 주려고 한다면, 한 명에게 몇 개씩 나누어 줄 수 있는지 구해 보세요.","a = 20
b = 4
c = 8
y = a * b // c
print(y)",10
6,"어떤 수에서 72을 빼야 하는데 실수로 50을 뺀 결과가 88이 나왔다면, 바르게 계산하면 답은 얼마일까요?","a = 72
b = 50
c = 88
y = (c + b) - a
print(y)",66
7,"미지는 매일 200 원씩 5 일 동안 저금하였고, 다혜는 미지가 저금한 돈의 4 배보다 1500 원 더 많이 저금하였습니다. 수정이는 매일 400 원씩 20 일 동안 저금하였습니다. 누가 가장 많은 돈을 저금했을까요?","a = 200
b = 5
c = 4
d = 1500
e = 400
f = 20
dicts = {'미지': a * b, '다혜': (a * b) * c + d, '수정': e * f}
y = max(dicts, key=dicts.get)
print(y)",수정
8,세 변의 길이의 합이 57센티미터인 정삼각형의 한 변의 길이는 몇 센티미터일까요?,"a = 57
b = 3
y = a / b
print(int(y))",19
3,"숫자 카드 6, 2, 5, 4가 있습니다. 이중에서, 3 장을 뽑아 두 자리 수와 한 자리 수 하나씩을 만들었을 때, 곱이 가장 큰 경우의 값을 구하시오.","from itertools import permutations

a = ['5', '1', '8', '9']
b = list(map(''.join, permutations(a, 3)))
c = []
for i in b:
    d = int(i[:-1])
    e = int(i[-1])
    c.append(d * e)
y = max(c)
print(y)",765
8,반지름이 4cm인 원의 지름은 몇cm 입니까?,"a = 4
b = 2
y = a * b
print(y)",8
1,철민이는 과자를 8개 먹었고 정윤이는 철민이가 먹은 과자의 7배를 먹었습니다. 정윤이가 먹은 과자는 모두 몇 개인지 답을 구하세요.,"a = 8
b = 7
y = a * b
print(y)",56
7,10 분에 14 km 를 가는 A 자동차와 15 분에 15 km를 가는 B 자동차가 있습니다. 두 자동차가 동시에 출발하여 120분 동안 쉬지 않고 동일한 속도로 움직였습니다. A 자동차와 B 자동차 중 어떤 자동차가 더 먼 거리를 이동했을까요?,"a = 10
b = 14
c = 15
d = 15
e = 120
f = e // a * b
g = e // c * d
dicts = {'A': f, 'B': g}
y = max(dicts, key=dicts.get)
print(y)",A
1,전체 타수에 대한 안타 수의 비율을 타율이라고 합니다. 어느 야구 선수는 210타수 중에서 안타가 16개였다고 합니다. 이 야구 선수의 타율을 백분율로 나타내세요.,"a = 210
b = 16
y = int(b / a * 100)
print(y)",7
8,"윗변이 5센티미터, 밑변이 12센티미터, 높이가 6센티미터인 사다리꼴이 있습니다. 이 사다리꼴의 넓이를 구하세요.","a = 5
b = 12
c = 6
y = (a + b) * c // 2
print(y)",51
7,"나은의 키는 155센티미터이고, 가은이의 키는 154.3 센티미터라면, 누구의 키가 더 큽니까?","a = 155
b = 154.3
dicts = {""나은"": a, ""가은"": b}
y = max(dicts, key=dicts.get)
print(y)",나은
1,어떤 식료품점에서는 20개에 25000원 하는 석류를 사와서 한 상자에 8개씩 담아 15000 원에 팔았습니다. 식료품점에서 석류를 팔아 얻은 수익이52000 원이라면 판 석류는 모두 몇 상자입니까?,"a = 20
b = 25000
c = 8
d = 15000
e = 52000
y = e // ((d // c) - (b // a))
print(y)",83
1,"진호는 매일 5.3km씩 산책을 한다면, 진호가 14일 동안 산책한 거리는 모두 몇 km인가요?","a = 5.3
b = 14
y = a * b
print(""{:.2f}"".format(y))",74.20
7,"어느 상점에서 초콜릿은 5개에 3000원이고, 카라멜은 4개에 2800원이라고 합니다. 초콜릿과 카라멜 중 한 개의 값은 어느 것이 더 비쌉니까?","a = 5
b = 3000
c = 4
d = 3200
dicts = {'초콜릿': b // a, '카라멜': d // c}
y = max(dicts, key=dicts.get) 
print(y)",카라멜
7,"재용이네 집의 세탁기는 세탁 과정과 헹굼 과정을 한 번씩 이용하는 데 91L의 물이 사용된다고 합니다. 헹굼 과정에서 사용된 물의 양이 52L 950mL일 때, 세탁과 헹굼 중 더 많은 양의 물을 사용한 과정은 무엇일까요?","a = 91 * 1000
b = 52 * 1000 + 950
y = a - b
dicts = {'세탁': a - b, '헹굼': b}
y = max(dicts, key=dicts.get)
print(y)",헹굼
1,"희섭이와 동생은 종이학을 14 일 동안 접었습니다. 종이학을 희섭이는 하루에 5 개씩 접고, 동생은 3 개씩 접었습니다. 두 사람이 접은 종이학을 6 명에게 똑같이 나누어 주려면 한 사람에게 몇 개씩 나누어 줄 수 있을까요?","a = 14
b = 5
c = 3
d = 6
y = (b + c) * a // d
print(y)",18
8,"가로의 길이가 13센티미터, 세로의 길이가 15센티미터인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 센티미터²일까요?","a = 13
b = 15
y = a * b
print(y)",195
1,"탁구공 9999개를 한 상자에 3000개씩 포장한다면, 포장된 탁구공은 모두 몇 개입니까?","a = 9999
b = 3000
y = a // b * b
print(y)",9000
1,"초콜릿이 20개, 사탕이 16개 있습니다. 초콜릿과 사탕을 합쳐 한 봉지에 6개씩 담으려면 봉지가 몇 개 필요합니까?","a = 20
b = 16
c = 6
y = (a + b) // c
print(y)",6
1,"호상이는 자전거를 타고 200km를 달렸습니다. 첫째날에는 1/5를 달렸고, 둘째날에는 나머지 거리의 1/2를 달렸습니다. 그렇다면 둘째날 호상이가 달린 거리는 몇 km 입니까?","a = 200
b = 1/5
c = 1/2
y = int((a * b) * c)
print(y)",20
8,둘레가 46.5cm인 원의 지름은 몇 cm 인가요? 원주율은 3.1으로 계산합니다.,"a = 46.5
b = 3.1
y = int(a / b)
print(y)",15
4,"성은이는 성준이의 집에 가기로 하였습니다. 집 근처에 도착하자 212동, 211동, 207동 아파트가 보였습니다. 성준이는 이 중에서 가장 큰 수인 동에 산다고 하였다면, 성준이가 사는 동은 몇 동 일까요?","a = [212, 211, 207]
y = max(a)
print(y)",212
1,민슬이는 100미터를 달리는 데 25초가 걸렸다면 민슬이가 100미터를 달리는 데 걸린 시간에 대한 달린 거리의 비율을 구하세요.,"a = 100
b = 25
y = a / b
print(int(y))",4
8,"가로가 6.2센티미터, 세로가 5.3센티미터인 직사각형과 가로가 4.2센티미터, 높이가 5.8센티미터인 평행사변형이 있다. 두 도형의 넓이의 합을 구하시오 몇 센티미터²입니까?","a = 6.2 * 5.3
b = 4.2 * 5.8
y = a + b
print(""{:.2f}"".format(y))",57.22
